query_id,category,run_id,question,response_mode,format_valid,precision,recall,f1,exact_answer
C1-001,C1,1,What processes and subprocesses do we have?,structured,True,1.0,1.0,1.0,True
C1-001,C1,2,What processes and subprocesses do we have?,structured,True,1.0,1.0,1.0,True
C1-001,C1,3,What processes and subprocesses do we have?,structured,True,1.0,1.0,1.0,True
C1-002,C1,1,What tasks are involved in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-002,C1,2,What tasks are involved in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-002,C1,3,What tasks are involved in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-003,C1,1,Which tasks deal with case preparation?,structured,True,1.0,1.0,1.0,True
C1-003,C1,2,Which tasks deal with case preparation?,structured,True,1.0,1.0,1.0,True
C1-003,C1,3,Which tasks deal with case preparation?,structured,True,1.0,1.0,1.0,True
C1-004,C1,1,Which tasks deal with case investigation?,structured,True,1.0,1.0,1.0,True
C1-004,C1,2,Which tasks deal with case investigation?,structured,True,1.0,1.0,1.0,True
C1-004,C1,3,Which tasks deal with case investigation?,structured,True,1.0,0.0625,0.11764705882352941,False
C1-005,C1,1,"Which tasks deal with case investigation, except for those dealing with collecting documents and records?",structured,True,1.0,1.0,1.0,True
C1-005,C1,2,"Which tasks deal with case investigation, except for those dealing with collecting documents and records?",structured,True,1.0,1.0,1.0,True
C1-005,C1,3,"Which tasks deal with case investigation, except for those dealing with collecting documents and records?",structured,True,1.0,1.0,1.0,True
C1-006,C1,1,What decisions occur in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-006,C1,2,What decisions occur in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-006,C1,3,What decisions occur in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-007,C1,1,What documents are involved in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-007,C1,2,What documents are involved in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-007,C1,3,What documents are involved in each process or subprocess?,structured,True,1.0,1.0,1.0,True
C1-008,C1,1,How is each process or subprocess initiated?,structured,True,0.5,0.5,0.5,False
C1-008,C1,2,How is each process or subprocess initiated?,structured,True,0.4666666666666667,0.5,0.4827586206896552,False
C1-008,C1,3,How is each process or subprocess initiated?,structured,True,0.4,0.5714285714285714,0.47058823529411764,False
C1-009,C1,1,How can each process or subprocess conclude?,structured,True,0.28,1.0,0.43750000000000006,False
C1-009,C1,2,How can each process or subprocess conclude?,structured,True,0.6363636363636364,1.0,0.7777777777777778,False
C1-009,C1,3,How can each process or subprocess conclude?,structured,True,1.0,1.0,1.0,True
C1-010,C1,1,"Does the document ""Case file"" exist?",binary,True,1.0,1.0,1.0,True
C1-010,C1,2,"Does the document ""Case file"" exist?",binary,True,1.0,1.0,1.0,True
C1-010,C1,3,"Does the document ""Case file"" exist?",binary,True,1.0,1.0,1.0,True
C1-011,C1,1,"Does the document ""Settlement agreement"" exist?",binary,True,1.0,1.0,1.0,True
C1-011,C1,2,"Does the document ""Settlement agreement"" exist?",binary,True,1.0,1.0,1.0,True
C1-011,C1,3,"Does the document ""Settlement agreement"" exist?",binary,True,1.0,1.0,1.0,True
C1-012,C1,1,"Is the task ""Analyze document and record"" part of an ad-hoc process?",binary,True,1.0,1.0,1.0,True
C1-012,C1,2,"Is the task ""Analyze document and record"" part of an ad-hoc process?",binary,True,1.0,1.0,1.0,True
C1-012,C1,3,"Is the task ""Analyze document and record"" part of an ad-hoc process?",binary,True,1.0,1.0,1.0,True
C1-013,C1,1,Is the task dealing with preparing the evidence set part of an ad-hoc (sub)process?,binary,True,1.0,1.0,1.0,True
C1-013,C1,2,Is the task dealing with preparing the evidence set part of an ad-hoc (sub)process?,binary,True,0.0,0.0,0.0,False
C1-013,C1,3,Is the task dealing with preparing the evidence set part of an ad-hoc (sub)process?,binary,True,1.0,1.0,1.0,True
C1-014,C1,1,"Do the tasks ""Collect physical evidence"" and ""Document observations"" occur within the same subprocess?",binary,True,1.0,1.0,1.0,True
C1-014,C1,2,"Do the tasks ""Collect physical evidence"" and ""Document observations"" occur within the same subprocess?",binary,True,1.0,1.0,1.0,True
C1-014,C1,3,"Do the tasks ""Collect physical evidence"" and ""Document observations"" occur within the same subprocess?",binary,True,1.0,1.0,1.0,True
C2-001,C2,1,"What must be completed right before the task ""Archive non-adjudicated matter"" can begin?",structured,True,1.0,1.0,1.0,True
C2-001,C2,2,"What must be completed right before the task ""Archive non-adjudicated matter"" can begin?",structured,True,1.0,1.0,1.0,True
C2-001,C2,3,"What must be completed right before the task ""Archive non-adjudicated matter"" can begin?",structured,True,1.0,1.0,1.0,True
C2-002,C2,1,Give me the possible outcomes of the decision regarding a required follow-up and the conditions leading to those outcomes.,structured,True,0.6666666666666666,1.0,0.8,False
C2-002,C2,2,Give me the possible outcomes of the decision regarding a required follow-up and the conditions leading to those outcomes.,structured,True,0.5,0.5,0.5,False
C2-002,C2,3,Give me the possible outcomes of the decision regarding a required follow-up and the conditions leading to those outcomes.,structured,True,0.5,0.5,0.5,False
C2-003,C2,1,What are all the steps that occur between registering a claim and adjudicating the case?,structured,True,1.0,1.0,1.0,True
C2-003,C2,2,What are all the steps that occur between registering a claim and adjudicating the case?,structured,True,1.0,1.0,1.0,True
C2-003,C2,3,What are all the steps that occur between registering a claim and adjudicating the case?,structured,True,1.0,1.0,1.0,True
C2-004,C2,1,What are all the steps that occur between the beginning of a case investigation and preparing the claim and the supporting documents?,structured,True,0.8333333333333334,1.0,0.9090909090909091,False
C2-004,C2,2,What are all the steps that occur between the beginning of a case investigation and preparing the claim and the supporting documents?,structured,True,1.0,0.2,0.33333333333333337,False
C2-004,C2,3,What are all the steps that occur between the beginning of a case investigation and preparing the claim and the supporting documents?,structured,True,1.0,1.0,1.0,True
C2-005,C2,1,Which routes allow the task of assessing the case's viability to lead to archiving the non-adjudicated matter without notifying the refusal to represent the case?,structured,True,1.0,1.0,1.0,True
C2-005,C2,2,Which routes allow the task of assessing the case's viability to lead to archiving the non-adjudicated matter without notifying the refusal to represent the case?,structured,True,1.0,1.0,1.0,True
C2-005,C2,3,Which routes allow the task of assessing the case's viability to lead to archiving the non-adjudicated matter without notifying the refusal to represent the case?,structured,True,1.0,1.0,1.0,True
C2-006,C2,1,Which other tasks can be performed in parallel with interviewing the parties?,structured,True,1.0,1.0,1.0,True
C2-006,C2,2,Which other tasks can be performed in parallel with interviewing the parties?,structured,True,1.0,1.0,1.0,True
C2-006,C2,3,Which other tasks can be performed in parallel with interviewing the parties?,structured,True,1.0,1.0,1.0,True
C2-007,C2,1,Does reviewing the collected documents occur before collecting the missing items?,binary,True,1.0,1.0,1.0,True
C2-007,C2,2,Does reviewing the collected documents occur before collecting the missing items?,binary,True,1.0,1.0,1.0,True
C2-007,C2,3,Does reviewing the collected documents occur before collecting the missing items?,binary,True,1.0,1.0,1.0,True
